code,first_name,second_name,web_name,id,understat
109745,Kepa,Arrizabalaga,Arrizabalaga,133,5061
116594,N'Golo,Kanté,Kanté,134,751
124183,Hakim,Ziyech,Ziyech,135,8992
126187,Ruben,Loftus-Cheek,Loftus-Cheek,136,688
165153,Timo,Werner,Werner,137,65
167767,Robert Kenedy,Nunes do Nascimento,Kenedy,138,689
172850,Ben,Chilwell,Chilwell,139,782
176413,Christian,Pulisic,Pulisic,140,2662
180736,Trevoh,Chalobah,Chalobah,141,6615
184341,Mason,Mount,Mount,142,7768
204727,Malang,Sarr,Sarr,143,5648
209046,Callum,Hudson-Odoi,Hudson-Odoi,144,6456
219847,Kai,Havertz,Havertz,145,5220
225796,Reece,James,James,146,8067
228286,Edouard,Mendy,Mendy,147,6880
232787,Conor,Gallagher,Gallagher,148,9040
243568,Billy,Gilmour,Gilmour,149,7988
440323,Armando,Broja,Broja,150,8384
199598,Ethan,Ampadu,Ampadu,151,6369
40836,Vicente,Guaita,Guaita,152,2190
49413,James,Tomkins,Tomkins,153,530
50471,James,McArthur,McArthur,154,633
54861,Christian,Benteke,Benteke,155,606
55494,Joel,Ward,Ward,156,510
57328,Nathaniel,Clyne,Clyne,157,603
66975,Luka,Milivojevic,Milivojevic,158,5549
80146,Jordan,Ayew,Ayew,159,672
82403,Wilfried,Zaha,Zaha,160,522
86417,Jeffrey,Schlupp,Schlupp,161,757
105666,Jack,Butland,Butland,162,856
108413,Will,Hughes,Hughes,163,6104
173954,Jairo,Riedewald,Riedewald,164,6027
174874,Joachim,Andersen,Andersen,165,6314
199670,Odsonne,Edouard,Edouard,166,3697
209036,Marc,Guéhi,Guéhi,167,7603
231747,Jean-Philippe,Mateta,Mateta,168,5735
232413,Eberechi,Eze,Eze,169,8706
244723,Tyrick,Mitchell,Mitchell,170,8214
443661,Michael,Olise,Olise,171,9948
450542,Jesurun,Rak-Sakyi,Rak-Sakyi,172,9461
450535,Malcolm,Ebiowei,Ebiowei,173,10698
232423,Nathan,Ferguson,Ferguson,174,6451
101982,Sam,Johnstone,Johnstone,175,978
40349,Asmir,Begović,Begović,176,694
57134,Salomón,Rondón,Rondón,177,813
59949,Seamus,Coleman,Coleman,178,585
60252,Andros,Townsend,Townsend,179,775
106611,Michael,Keane,Keane,180,1653
108823,Dele,Alli,Dele,181,645
111234,Jordan,Pickford,Pickford,182,741
119765,Allan,Marques Loureiro,Allan,183,1379
120250,André,Tavares Gomes,André Gomes,184,2383
121599,Abdoulaye,Doucouré,Doucouré,185,1726
153133,Alex,Iwobi,Iwobi,186,500
160987,Jean-Philippe,Gbamin,Gbamin,187,4764
164511,Yerry,Mina,Mina,188,6521
172632,Demarai,Gray,Gray,189,762
173807,Tom,Davies,Davies,190,1042
177815,Dominic,Calvert-Lewin,Calvert-Lewin,191,5555
194164,Mason,Holgate,Holgate,192,985
198826,Ben,Godfrey,Godfrey,193,7689
224967,Vitalii,Mykolenko,Mykolenko,194,10291
232826,Anthony,Gordon,Gordon,195,8150
480455,Jarrad,Branthwaite,Branthwaite,196,8476
